identifier,firstDragonIdentifier,secondDragonIdentifier,possibleRawEggDistribution,goldPossibleRawEggDistribution,eggNumber,h
String,String,String,String,String,Integer,String
1,T1C1WFdragon,T1C1SEdragon,deck0001:1,deck0001:1,1,
2,T1C1WFdragon,T1C1HIdragon,deck0002:1,deck0002:1,2,
3,T1C1WFdragon,T1C2WIdragon,deck0003:1,deck0003:1,4,
4,T1C1WFdragon,T1C2HEdragon,deck0004:1,deck0004:1,1,
5,T1C1WFdragon,T1C2SFdragon,deck0005:1,deck0005:1,1,
6,T1C1WFdragon,T1C3WEdragon,deck0006:1,deck0006:1,1,
7,T1C1WFdragon,T1C3HFdragon,deck0007:1,deck0007:1,1,
8,T1C1WFdragon,T1C3SIdragon,deck0008:1,deck0008:1,1,
9,T1C1WFdragon,T2C1HIdragon,deck0009:1,deck0009:1,1,
10,T1C1WFdragon,T2C1WEdragon,deck0010:1,deck0010:1,1,
11,T1C1WFdragon,T2C1SFdragon,deck0011:1,deck0011:1,1,
12,T1C1WFdragon,T2C1HUdragon,deck0012:1,deck0012:1,1,
13,T1C1WFdragon,T2C2WIdragon,deck0013:1,deck0013:1,1,
14,T1C1WFdragon,T2C2SUdragon,deck0014:1,deck0014:1,1,
15,T1C1WFdragon,T2C2HEdragon,deck0015:1,deck0015:1,1,
16,T1C1WFdragon,T2C3SEdragon,deck0016:1,deck0016:1,1,
17,T1C1WFdragon,T2C3HFdragon,deck0017:1,deck0017:1,1,
18,T1C1WFdragon,T2C3SFdragon,deck0018:1,deck0018:1,1,
19,T1C1WFdragon,T2C3HIdragon,deck0019:1,deck0019:1,1,
20,T1C1WFdragon,T2C3WEdragon,deck0020:1,deck0020:1,1,
21,T1C1WFdragon,T3C1WEdragon,deck0021:1,deck0021:1,1,
22,T1C1WFdragon,T3C1SFdragon,deck0022:1,deck0022:1,1,
23,T1C1WFdragon,T3C1HIdragon,deck0023:1,deck0023:1,1,
24,T1C1WFdragon,T3C1WUdragon,deck0024:1,deck0024:1,1,
25,T1C1WFdragon,T3C1SIdragon,deck0025:1,deck0025:1,1,
26,T1C1WFdragon,T3C1HEdragon,deck0026:1,deck0026:1,1,
27,T1C1WFdragon,T3C2SEdragon,deck0027:1,deck0027:1,1,
28,T1C1WFdragon,T3C2HUdragon,deck0028:1,deck0028:1,1,
29,T1C1WFdragon,T3C3SUdragon,deck0029:1,deck0029:1,1,
30,T1C1WFdragon,T3C3HFdragon,deck0030:1,deck0030:1,1,
31,T1C1WFdragon,T3C3WIdragon,deck0031:1,deck0031:1,1,
32,T1C1WFdragon,T3C3HIdragon,deck0032:1,deck0032:1,1,
33,T1C1WFdragon,T4C1SFdragon,deck0033:1,deck0033:1,1,
34,T1C1WFdragon,T4C1HIdragon,deck0034:1,deck0034:1,1,
35,T1C1WFdragon,T4C1WUdragon,deck0035:1,deck0035:1,1,
36,T1C1WFdragon,T4C1SDdragon,deck0036:1,deck0036:1,1,
37,T1C1WFdragon,T4C1HEdragon,deck0037:1,deck0037:1,1,
38,T1C1WFdragon,T4C1HFdragon,deck0038:1,deck0038:1,1,
39,T1C1WFdragon,T4C2WIdragon,deck0039:1,deck0039:1,1,
40,T1C1WFdragon,T4C2SEdragon,deck0040:1,deck0040:1,1,
41,T1C1WFdragon,T4C2HUdragon,deck0041:1,deck0041:1,1,
42,T1C1WFdragon,T4C2WDdragon,deck0042:1,deck0042:1,1,
43,T1C1WFdragon,T4C3SIdragon,deck0043:1,deck0043:1,1,
44,T1C1WFdragon,T4C3WFdragon,deck0044:1,deck0044:1,1,
45,T1C1WFdragon,T4C3HDdragon,deck0045:1,deck0045:1,1,
46,T1C1WFdragon,T4C3SUdragon,deck0046:1,deck0046:1,1,
47,T1C1WFdragon,T4C3WEdragon,deck0047:1,deck0047:1,1,
48,T1C1WFdragon,T5C1WUdragon,deck0048:1,deck0048:1,1,
49,T1C1WFdragon,T5C1HEdragon,deck0049:1,deck0049:1,1,
50,T1C1WFdragon,T5C1WDdragon,deck0050:1,deck0050:1,1,
51,T1C1WFdragon,T5C1SFdragon,deck0051:1,deck0051:1,1,
52,T1C1WFdragon,T5C1HIdragon,deck0052:1,deck0052:1,1,
53,T1C1WFdragon,T5C2SEdragon,deck0053:1,deck0053:1,1,
54,T1C1WFdragon,T5C2HDdragon,deck0054:1,deck0054:1,1,
55,T1C1WFdragon,T5C2WIdragon,deck0055:1,deck0055:1,1,
56,T1C1WFdragon,T5C2SUdragon,deck0056:1,deck0056:1,1,
57,T1C1WFdragon,T5C3HFdragon,deck0057:1,deck0057:1,1,
58,T1C1WFdragon,T5C3WFdragon,deck0058:1,deck0058:1,1,
59,T1C1WFdragon,T5C3SDdragon,deck0059:1,deck0059:1,1,
60,T1C1WFdragon,T5C3HUdragon,deck0060:1,deck0060:1,1,
61,T1C1WFdragon,T5C3WEdragon,deck0061:1,deck0061:1,1,
62,T1C1WFdragon,T5C3SIdragon,deck0062:1,deck0062:1,1,
63,T1C1SEdragon,T1C1HIdragon,deck0063:1,deck0063:1,1,
64,T1C1SEdragon,T1C2WIdragon,deck0064:1,deck0064:1,1,
65,T1C1SEdragon,T1C2HEdragon,deck0065:1,deck0065:1,5,
66,T1C1SEdragon,T1C2SFdragon,deck0066:1,deck0066:1,9,
67,T1C1SEdragon,T1C3WEdragon,deck0067:1,deck0067:1,1,
68,T1C1SEdragon,T1C3HFdragon,deck0068:1,deck0068:1,1,
69,T1C1SEdragon,T1C3SIdragon,deck0069:1,deck0069:1,1,
70,T1C1SEdragon,T2C1HIdragon,deck0070:1,deck0070:1,1,
71,T1C1SEdragon,T2C1WEdragon,deck0071:1,deck0071:1,1,
72,T1C1SEdragon,T2C1SFdragon,deck0072:1,deck0072:1,1,
73,T1C1SEdragon,T2C1HUdragon,deck0073:1,deck0073:1,1,
74,T1C1SEdragon,T2C2WIdragon,deck0074:1,deck0074:1,1,
75,T1C1SEdragon,T2C2SUdragon,deck0075:1,deck0075:1,1,
76,T1C1SEdragon,T2C2HEdragon,deck0076:1,deck0076:1,1,
77,T1C1SEdragon,T2C3WUdragon,deck0077:1,deck0077:1,1,
78,T1C1SEdragon,T2C3HFdragon,deck0078:1,deck0078:1,1,
79,T1C1SEdragon,T2C3SFdragon,deck0079:1,deck0079:1,1,
80,T1C1SEdragon,T2C3HIdragon,deck0080:1,deck0080:1,1,
81,T1C1SEdragon,T2C3WEdragon,deck0081:1,deck0081:1,1,
82,T1C1SEdragon,T3C1WEdragon,deck0082:1,deck0082:1,1,
83,T1C1SEdragon,T3C1SFdragon,deck0083:1,deck0083:1,1,
84,T1C1SEdragon,T3C1HIdragon,deck0084:1,deck0084:1,1,
85,T1C1SEdragon,T3C1WUdragon,deck0085:1,deck0085:1,1,
86,T1C1SEdragon,T3C1SIdragon,deck0086:1,deck0086:1,1,
87,T1C1SEdragon,T3C1HEdragon,deck0087:1,deck0087:1,1,
88,T1C1SEdragon,T3C2SEdragon,deck0088:1,deck0088:1,1,
89,T1C1SEdragon,T3C2HUdragon,deck0089:1,deck0089:1,1,
